ECG_Max,ECG_SD,ECG_Mean,ECG_Q1,ECG_Q2,ECG_Q3,ECG_AVHR,ECG_IBI,ECG_RMSSD,ECG_pNN20,ECG_pNN50,EDA_SC,EDA_SCL,EDA_SCR,EDA_Max,EDA_SD,EDA_Mean,EDA_Q1,EDA_Q2,EDA_Q3,time_mean,time_max,time_min,time_std,time_skew,time_kurtosis,delta_amp,theta_amp,alpha_amp,beta_amp,delta_psd,theta_psd,alpha_psd,beta_psd,trust level
0.797838505,0.155939669,0.002525813,-0.079468492,0.011190278,0.09611914,179.4739556,334.3103448,67.24156878,0.821428571,0.464285714,7.580348892,7.612800598,0.055720863,7.851867676,0.17974682,7.580348892,7.438716888,7.612800598,7.703609467,45474.67447,45687.26487,45301.58375,82.86756611,0.132536139,2.200281633,17.74362333,7.468281677,3.391779869,3.925625784,98.36235188,15.77987,2.447145193,0.934104298,1
0.588381302,0.153652886,0.002812601,-0.075456883,0.011702398,0.09696369,180.8731809,331.7241379,71.89401922,0.821428571,0.5,7.529962044,7.590370178,0.0582827,7.851867676,0.210002772,7.529962044,7.331123352,7.590370178,7.68037796,45498.40036,45689.30975,45342.2495,79.87261334,0.039958431,1.985546175,18.46963722,7.932048109,3.447888107,3.953829063,106.2771559,17.68741818,2.534258131,0.944837127,1
0.646448557,0.153641944,0.003085889,-0.069875221,0.014065339,0.094113336,179.9379524,333.4482759,72.95424202,0.857142857,0.535714286,7.48103466,7.495422363,0.09825119,7.851867676,0.238057226,7.48103466,7.258262634,7.495422363,7.68037796,45521.95256,45727.69638,45359.1695,80.22110947,-0.023338409,2.169134006,17.79659747,7.61696689,3.215606819,3.935464182,98.34397521,16.25252082,2.208972836,0.93621008,1
0.646448557,0.153016957,0.002624001,-0.069149717,0.01394854,0.091402243,179.3814433,334.4827586,71.74483555,0.785714286,0.5,7.430690689,7.387886047,0.131462059,7.851867676,0.250356401,7.430690689,7.185897827,7.387886047,7.646045685,45545.19956,45751.33425,45376.43425,77.83786864,-0.026236453,2.415174278,17.10552979,7.452580741,3.165791274,3.961082496,90.44293924,15.48423399,2.132553728,0.949704743,1
0.646448557,0.151958868,0.00358951,-0.067060806,0.015049149,0.091570704,177.5510204,337.9310345,76.14600637,0.821428571,0.535714286,7.355420952,7.288818359,0.131480598,7.847061157,0.231711242,7.355420952,7.145233154,7.288818359,7.550392151,45569.11145,45783.7305,45400.64838,77.03378127,-0.015657421,2.599560197,17.82510223,7.706879131,3.390220005,3.886351375,98.58716514,16.50502333,2.46069595,0.913959071,1
0.646448557,0.154117675,0.001268329,-0.070883739,0.012686208,0.089724375,176.7490794,339.4642857,75.09253551,0.777777778,0.518518519,7.274631195,7.227630615,0.108892632,7.720794678,0.205395452,7.274631195,7.128658295,7.227630615,7.438373566,45592.83506,45795.61238,45426.67638,73.06219248,0.045449633,2.516890966,15.94276188,6.495067599,3.185005784,3.71185837,78.40121072,11.56021667,2.143408187,0.836788893,1
0.646448557,0.152402319,0.003798172,-0.067501049,0.01607339,0.093282263,172.6618705,347.5,85.78072822,0.777777778,0.592592593,7.200020561,7.150382996,0.101317825,7.59147644,0.190733572,7.200020561,7.080993652,7.150382996,7.331047058,45615.74648,45822.28313,45446.4605,75.41690429,0.113447278,2.620055251,15.91504703,6.30755184,3.288537551,3.62442341,78.11238739,10.86956596,2.275978619,0.796296262,1
0.646448557,0.15557221,0.000639189,-0.070897216,0.011248677,0.087988108,175.5485893,341.7857143,75.96295393,0.740740741,0.592592593,7.128342094,7.137527466,0.067590714,7.495269775,0.181446026,7.128342094,6.979408264,7.137527466,7.25818634,45643.91561,45869.19663,45493.34613,78.02485051,0.500738884,2.730707662,15.83433747,6.23852224,3.196814244,3.553388516,77.19756637,10.52633171,2.141813282,0.764245214,1
0.646448557,0.154187275,0.003827178,-0.068386029,0.014757151,0.092698267,175.1824818,342.5,76.20027219,0.740740741,0.62962963,7.061950455,7.120094299,0.045238647,7.387924194,0.176342557,7.061950455,6.902961731,7.120094299,7.185440063,45666.85428,45895.31325,45506.1105,80.60396662,0.341320713,2.354545484,18.55788448,6.72895402,3.241860496,3.54267262,106.1156272,12.38776151,2.191435659,0.762128267,1
0.646448557,0.15440238,0.000811032,-0.070746724,0.01213815,0.088116138,174.9089016,343.0357143,76.07257743,0.777777778,0.62962963,7.00375042,7.02796936,0.065546837,7.289505005,0.172787994,7.00375042,6.827526093,7.02796936,7.145233154,45691.63177,45936.089,45530.31925,84.87171691,0.433325837,2.611216453,18.77983405,6.731184859,3.260595643,3.51435552,109.1158404,12.48656821,2.212623879,0.751724558,1
