ECG_Max,ECG_SD,alpha_psd,ECG_Mean,ECG_Q1,delta_amp,ECG_Q2,ECG_Q3,beta_amp,ECG_AVHR,ECG_IBI,theta_psd,ECG_RMSSD,time_std,theta_amp,ECG_pNN20,ECG_pNN50,beta_psd,EDA_SC,EDA_SCL,alpha_amp,EDA_SCR,EDA_Max,EDA_SD,delta_psd,EDA_Mean,EDA_Q1,EDA_Q2,EDA_Q3,time_mean,time_max,time_min,time_skew,time_kurtosis,trust level
0.646448557,0.151958868,2.46069595,0.00358951,-0.067060806,17.82510223,0.015049149,0.091570704,3.886351375,177.5510204,337.9310345,16.50502333,76.14600637,77.03378127,7.706879131,0.821428571,0.535714286,0.913959071,7.355420952,7.288818359,3.390220005,0.131480598,7.847061157,0.231711242,98.58716514,7.355420952,7.145233154,7.288818359,7.550392151,45569.11145,45783.7305,45400.64838,-0.015657421,2.599560197,1
0.646448557,0.154117675,2.143408187,0.001268329,-0.070883739,15.94276188,0.012686208,0.089724375,3.71185837,176.7490794,339.4642857,11.56021667,75.09253551,73.06219248,6.495067599,0.777777778,0.518518519,0.836788893,7.274631195,7.227630615,3.185005784,0.108892632,7.720794678,0.205395452,78.40121072,7.274631195,7.128658295,7.227630615,7.438373566,45592.83506,45795.61238,45426.67638,0.045449633,2.516890966,1
0.646448557,0.152402319,2.275978619,0.003798172,-0.067501049,15.91504703,0.01607339,0.093282263,3.62442341,172.6618705,347.5,10.86956596,85.78072822,75.41690429,6.30755184,0.777777778,0.592592593,0.796296262,7.200020561,7.150382996,3.288537551,0.101317825,7.59147644,0.190733572,78.11238739,7.200020561,7.080993652,7.150382996,7.331047058,45615.74648,45822.28313,45446.4605,0.113447278,2.620055251,1
0.646448557,0.15557221,2.141813282,0.000639189,-0.070897216,15.83433747,0.011248677,0.087988108,3.553388516,175.5485893,341.7857143,10.52633171,75.96295393,78.02485051,6.23852224,0.740740741,0.592592593,0.764245214,7.128342094,7.137527466,3.196814244,0.067590714,7.495269775,0.181446026,77.19756637,7.128342094,6.979408264,7.137527466,7.25818634,45643.91561,45869.19663,45493.34613,0.500738884,2.730707662,1
0.646448557,0.154187275,2.191435659,0.003827178,-0.068386029,18.55788448,0.014757151,0.092698267,3.54267262,175.1824818,342.5,12.38776151,76.20027219,80.60396662,6.72895402,0.740740741,0.62962963,0.762128267,7.061950455,7.120094299,3.241860496,0.045238647,7.387924194,0.176342557,106.1156272,7.061950455,6.902961731,7.120094299,7.185440063,45666.85428,45895.31325,45506.1105,0.341320713,2.354545484,1
0.646448557,0.15440238,2.212623879,0.000811032,-0.070746724,18.77983405,0.01213815,0.088116138,3.51435552,174.9089016,343.0357143,12.48656821,76.07257743,84.87171691,6.731184859,0.777777778,0.62962963,0.751724558,7.00375042,7.02796936,3.260595643,0.065546837,7.289505005,0.172787994,109.1158404,7.00375042,6.827526093,7.02796936,7.145233154,45691.63177,45936.089,45530.31925,0.433325837,2.611216453,1
0.858655037,0.161892565,1.845631006,0.000297138,-0.087222173,27.38071804,0.010498466,0.091006922,3.552873284,173.4641198,345.8928571,18.78790683,96.8819442,93.57989438,8.2442608,0.888888889,0.777777778,0.761796609,5.460707703,5.474586487,2.985887518,0.019164925,5.588989258,0.065791839,230.8436971,5.460707703,5.407180786,5.474586487,5.498638153,46470.34486,46754.61625,46285.46288,0.341233205,3.277524619,1
0.858655037,0.160743466,1.906874402,0.008049556,-0.073767785,27.4684171,0.019096696,0.09566542,3.465884505,174.8743719,343.1034483,18.02037855,89.96030871,95.37036279,8.079690033,0.928571429,0.714285714,0.726660138,5.435800591,5.457229614,3.041967614,0.017691269,5.551986694,0.066722225,230.5709497,5.435800591,5.377349854,5.457229614,5.482635498,46465.35927,46760.63,46290.92125,0.512721459,3.468522609,1
0.858655037,0.164136676,2.120515927,0.002082349,-0.082958996,27.6472286,0.01357568,0.091882917,3.54604962,174.0031072,344.8214286,18.81243289,94.75113602,92.28161797,8.251638923,0.925925926,0.703703704,0.757304783,5.415120544,5.424919128,3.192905713,0.02450264,5.524902344,0.065302274,233.4934025,5.415120544,5.349407196,5.424919128,5.476989746,46460.81092,46767.19938,46293.677,0.709243625,3.911412958,1
0.858655037,0.16181797,1.985539604,0.003951215,-0.080065966,19.28973914,0.014078816,0.093100326,3.404601359,173.0175077,346.7857143,15.18207378,91.8382233,85.16834411,7.439775533,0.925925926,0.703703704,0.695323206,5.404655418,5.405044556,3.089043667,0.02602562,5.524902344,0.059355668,112.2603085,5.404655418,5.349407196,5.405044556,5.470600128,46457.85829,46778.42288,46297.6365,0.921478773,5.145915619,1
0.858655037,0.162167215,1.610395358,-0.000286262,-0.083938314,16.48399027,0.00902949,0.088253152,3.33926238,175.0911933,342.6785714,8.624318382,88.92360433,70.71959447,5.673822757,0.851851852,0.62962963,0.666456549,5.39866024,5.405044556,2.781721677,0.020030441,5.524902344,0.054243525,82.03098191,5.39866024,5.349407196,5.405044556,5.439910889,46455.32159,46643.20388,46297.6365,0.094684637,2.532631906,1
